,Rk_g_y1,Player,Age_g_y1,Team_g_y1,Pos_g_y1,G_g_y1,GS_g_y1,MP_g_y1,FG_y1,FGA_y1,FG%_y1,3P_y1,3PA_y1,3P%_y1,2P_y1,2PA_y1,2P%_y1,eFG%_y1,FT_y1,FTA_y1,FT%_y1,ORB_y1,DRB_y1,TRB_y1,AST_y1,STL_y1,BLK_y1,TOV_y1,PF_y1,PTS_y1,Season_y1,Age_a_y1,MP_a_y1,PER_y1,TS%_y1,3PAr_y1,FTr_y1,ORB%_y1,DRB%_y1,TRB%_y1,AST%_y1,STL%_y1,BLK%_y1,TOV%_y1,USG%_y1,OWS_y1,DWS_y1,WS_y1,WS/48_y1,OBPM_y1,DBPM_y1,BPM_y1,VORP_y1,FG_p_y1,FGA_p_y1,FG%_p_y1,3P_p_y1,3PA_p_y1,3P%_p_y1,2P_p_y1,2PA_p_y1,2P%_p_y1,eFG%_p_y1,FT_p_y1,FTA_p_y1,FT%_p_y1,ORB_p_y1,DRB_p_y1,TRB_p_y1,AST_p_y1,STL_p_y1,BLK_p_y1,TOV_p_y1,PF_p_y1,PTS_p_y1,ORtg_y1,DRtg_y1,AS_After_Year_Two,Images,team,logo,team_abbr
0,120.0,Ace Bailey,19.0,UTA,SF,72.0,61.0,27.6,5.5,12.4,0.443,1.9,5.5,0.344,3.6,6.9,0.522,0.52,0.9,1.2,0.75,1.4,2.8,4.2,1.8,0.8,0.7,1.5,2.7,13.8,2026,19.0,1988.0,11.6,0.533,0.446,0.099,5.5,11.0,8.2,9.7,1.4,2.4,10.3,21.4,-0.4,0.3,-0.1,-0.001,-1.9,-2.5,-4.4,-1.2,9.3,21.1,0.443,3.2,9.4,0.344,6.1,11.7,0.522,0.52,1.6,2.1,0.75,2.5,4.7,7.1,3.1,1.4,1.2,2.5,4.6,23.4,105.0,124.0,,https://cdn.nba.com/headshots/nba/latest/1040x760/1642846.png,Utah Jazz,https://cdn.nba.com/logos/nba/1610612762/primary/L/logo.svg,UTA
1,539.0,Adou Thiero,21.0,LAL,SF,25.0,0.0,6.0,0.6,1.2,0.516,0.0,0.1,0.333,0.6,1.1,0.536,0.532,0.6,0.9,0.636,0.4,0.8,1.1,0.4,0.3,0.1,0.4,0.8,1.9,2026,21.0,149.0,10.7,0.578,0.097,0.71,7.3,14.4,11.0,8.7,2.3,1.2,18.1,14.6,0.1,0.2,0.2,0.071,-4.2,-0.2,-4.4,-0.1,5.2,10.2,0.516,0.3,1.0,0.333,4.9,9.2,0.536,0.532,4.6,7.2,0.636,2.9,6.2,9.2,3.3,2.3,0.7,2.9,6.2,15.4,111.0,116.0,,https://cdn.nba.com/headshots/nba/latest/1040x760/1642876.png,Los Angeles Lakers,https://cdn.nba.com/logos/nba/1610612747/primary/L/logo.svg,LAL
2,483.0,Alex Antetokounmpo,24.0,MIL,SF,6.0,0.0,3.5,0.5,1.3,0.375,0.3,1.2,0.286,0.2,0.2,1.0,0.5,1.8,2.5,0.733,0.3,0.7,1.0,0.2,0.0,0.2,0.2,0.2,3.2,2026,24.0,21.0,28.6,0.651,0.875,1.875,10.9,21.4,16.2,6.8,0.0,4.8,6.4,32.8,0.1,0.0,0.1,0.282,7.3,-1.9,5.4,0.0,7.0,18.7,0.375,4.7,16.4,0.286,2.3,2.3,1.0,0.5,25.8,35.1,0.733,4.7,9.4,14.1,2.3,0.0,2.3,2.3,2.3,44.5,136.0,119.0,,https://cdn.nba.com/headshots/nba/latest/1040x760/1630828.png,Milwaukee Bucks,https://cdn.nba.com/logos/nba/1610612749/primary/L/logo.svg,MIL
3,517.0,Alex Ducas,24.0,OKC,SG,21.0,0.0,6.0,0.6,1.4,0.4,0.5,1.0,0.476,0.1,0.4,0.222,0.567,0.1,0.1,1.0,0.4,0.8,1.2,0.2,0.2,0.0,0.2,0.6,1.7,2025,24.0,125.0,10.1,0.583,0.7,0.067,7.9,14.3,11.2,4.8,1.9,0.0,11.5,11.8,0.1,0.2,0.3,0.125,-2.1,0.1,-2.0,0.0,4.6,11.5,0.4,3.8,8.1,0.476,0.8,3.5,0.222,0.567,0.8,0.8,1.0,3.5,6.5,10.0,1.9,1.9,0.0,1.5,4.6,13.8,120.0,110.0,,https://cdn.nba.com/headshots/nba/latest/1040x760/1642505.png,Oklahoma City Thunder,https://cdn.nba.com/logos/nba/1610612760/primary/L/logo.svg,OKC
4,376.0,Alex Reese,25.0,2TM,PF,15.0,0.0,14.4,1.7,3.6,0.481,1.0,2.7,0.366,0.7,0.9,0.846,0.62,0.6,0.8,0.75,0.6,2.5,3.1,0.3,0.7,0.7,0.4,1.4,5.1,2025,25.0,216.0,14.0,0.641,0.759,0.222,4.5,20.8,12.3,2.6,2.3,4.5,9.2,13.2,0.3,0.2,0.5,0.109,-0.9,-0.3,-1.2,0.0,5.9,12.3,0.481,3.4,9.4,0.366,2.5,3.0,0.846,0.62,2.1,2.7,0.75,2.1,8.7,10.7,0.9,2.3,2.3,1.4,4.8,17.3,122.0,114.0,,https://cdn.nba.com/headshots/nba/latest/1040x760/1642024.png,,,
5,526.0,Alijah Martin,24.0,TOR,SG,23.0,0.0,6.3,0.7,2.2,0.32,0.2,0.9,0.19,0.5,1.3,0.414,0.36,0.7,0.8,0.789,0.4,0.5,0.9,0.5,0.3,0.2,0.3,0.5,2.2,2026,24.0,146.0,9.2,0.437,0.42,0.38,6.9,9.4,8.2,10.6,2.7,2.6,12.1,19.5,-0.2,0.2,0.0,0.015,-4.6,0.2,-4.3,-0.1,5.3,16.7,0.32,1.3,7.0,0.19,4.0,9.7,0.414,0.36,5.0,6.3,0.789,3.0,4.0,7.0,4.0,2.7,1.3,2.7,4.0,17.0,97.0,112.0,,https://cdn.nba.com/headshots/nba/latest/1040x760/1642918.png,Toronto Raptors,https://cdn.nba.com/logos/nba/1610612761/primary/L/logo.svg,TOR
6,556.0,Amari Williams,24.0,BOS,PF,22.0,2.0,6.6,0.5,0.9,0.5,0.0,0.0,0.0,0.5,0.9,0.5,0.5,0.5,0.6,0.714,0.4,1.4,1.8,0.5,0.1,0.5,0.5,0.9,1.4,2026,24.0,146.0,9.7,0.573,0.0,0.7,6.9,22.8,15.1,8.5,1.0,6.9,29.6,11.1,0.0,0.3,0.2,0.077,-5.0,2.9,-2.1,0.0,3.5,6.9,0.5,0.0,0.0,0.0,3.5,6.9,0.5,0.5,3.5,4.9,0.714,3.1,10.7,13.9,3.5,1.0,3.5,3.8,6.6,10.4,103.0,109.0,,https://cdn.nba.com/headshots/nba/latest/1040x760/1642873.png,Boston Celtics,https://cdn.nba.com/logos/nba/1610612738/primary/L/logo.svg,BOS
7,548.0,Anton Watson,24.0,NYK,SF,9.0,0.0,2.4,0.4,1.0,0.444,0.0,0.1,0.0,0.4,0.9,0.5,0.444,0.0,0.0,0.0,0.1,0.2,0.3,0.2,0.1,0.0,0.2,0.3,0.9,2025,24.0,22.0,5.9,0.444,0.111,0.0,5.3,10.3,7.8,12.8,2.3,0.0,18.2,21.7,-0.1,0.0,0.0,-0.07,-8.3,-1.8,-10.1,0.0,9.0,20.3,0.444,0.0,2.3,0.0,9.0,18.0,0.5,0.444,0.0,0.0,0.0,2.3,4.5,6.8,4.5,2.3,0.0,4.5,6.8,18.0,86.0,115.0,,https://cdn.nba.com/headshots/nba/latest/1040x760/1641817.png,New York Knicks,https://cdn.nba.com/logos/nba/1610612752/primary/L/logo.svg,NYK
8,524.0,Armel Traoré,22.0,LAL,SF,9.0,0.0,7.4,0.7,2.1,0.316,0.0,0.8,0.0,0.7,1.3,0.5,0.316,0.2,0.8,0.286,0.2,1.4,1.7,0.1,0.4,0.2,0.3,0.7,1.6,2025,22.0,67.0,3.5,0.317,0.368,0.368,3.5,21.2,12.6,2.0,2.9,2.8,12.0,16.4,-0.2,0.1,-0.1,-0.092,-9.5,-0.4,-9.8,-0.1,4.4,13.9,0.316,0.0,5.1,0.0,4.4,8.8,0.5,0.316,1.5,5.1,0.286,1.5,9.5,11.0,0.7,2.9,1.5,2.2,4.4,10.3,65.0,109.0,,https://cdn.nba.com/headshots/nba/latest/1040x760/1642422.png,Los Angeles Lakers,https://cdn.nba.com/logos/nba/1610612747/primary/L/logo.svg,LAL
9,400.0,Asa Newell,20.0,ATL,PF,44.0,2.0,11.4,2.1,3.8,0.538,0.7,1.7,0.387,1.4,2.1,0.66,0.624,0.4,0.7,0.552,1.0,1.2,2.2,0.6,0.4,0.3,0.5,1.5,5.2,2026,20.0,500.0,14.2,0.624,0.444,0.172,9.4,11.5,10.4,7.2,1.5,2.7,11.2,17.1,0.6,0.6,1.2,0.113,-1.0,-0.5,-1.5,0.1,8.6,16.0,0.538,2.7,7.1,0.387,5.9,8.9,0.66,0.624,1.5,2.7,0.552,4.2,4.9,9.1,2.5,1.5,1.4,2.2,6.1,21.4,120.0,115.0,,https://cdn.nba.com/headshots/nba/latest/1040x760/1642854.png,Atlanta Hawks,https://cdn.nba.com/logos/nba/1610612737/primary/L/logo.svg,ATL
