,Player,Team,Position,Age,Images,Team_Logo,Allstar_Prob,Similar_Players
0,Kon Knueppel,CHO,SF,20.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1642851.png,https://cdn.nba.com/logos/nba/1610612766/primary/L/logo.svg,0.8088643992733949,"Jayson Tatum, Franz Wagner, Wally Szczerbiak"
1,Cooper Flagg,DAL,SF,19.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1642843.png,https://cdn.nba.com/logos/nba/1610612742/primary/L/logo.svg,0.7717912216365278,"Franz Wagner, Lamar Odom, Carmelo Anthony"
2,VJ Edgecombe,PHI,SG,20.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1642845.png,https://cdn.nba.com/logos/nba/1610612755/primary/L/logo.svg,0.6393316624895572,"Jalen Williams, Jason Richardson, Tyreke Evans"
3,Derik Queen,NOP,C,21.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1642852.png,https://cdn.nba.com/logos/nba/1610612740/primary/L/logo.svg,0.6223381984372697,"Alperen Şengün, DeMarcus Cousins, Deandre Ayton"
4,Jeremiah Fears,NOP,PG,19.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1642847.png,https://cdn.nba.com/logos/nba/1610612740/primary/L/logo.svg,0.4685815846806558,"D'Angelo Russell, De'Aaron Fox, Dennis Smith Jr."
5,Cedric Coward,MEM,SG,22.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1642907.png,https://cdn.nba.com/logos/nba/1610612763/primary/L/logo.svg,0.4547911601520968,"Jalen Williams, Luka Dončić, Chris Duarte"
6,Collin Murray-Boyles,TOR,PF,20.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1642867.png,https://cdn.nba.com/logos/nba/1610612761/primary/L/logo.svg,0.4316067947646894,"Xavier Tillman Sr., John Collins, Trayce Jackson-Davis"
7,Dylan Harper,SAS,SG,19.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1642844.png,https://cdn.nba.com/logos/nba/1610612759/primary/L/logo.svg,0.3832713567420382,"Bones Hyland, Brandin Podziemski, James Harden"
8,Ryan Kalkbrenner,CHO,C,24.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1641750.png,https://cdn.nba.com/logos/nba/1610612766/primary/L/logo.svg,0.2369522753669095,"Walker Kessler, Mason Plumlee, Willie Cauley-Stein"
9,Egor Dёmin,BRK,PG,19.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1642856.png,https://cdn.nba.com/logos/nba/1610612751/primary/L/logo.svg,0.2334415584415584,"Jrue Holiday, Théo Maledon, Mike Conley"
10,Ace Bailey,UTA,SF,19.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1642846.png,https://cdn.nba.com/logos/nba/1610612762/primary/L/logo.svg,0.2320460704607046,"Cam Reddish, De'Andre Hunter, Josh Jackson"
11,Maxime Raynaud,SAC,C,22.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1642875.png,https://cdn.nba.com/logos/nba/1610612758/primary/L/logo.svg,0.1950550421653284,"Deandre Ayton, Al Horford, Jalen Duren"
12,Will Riley,WAS,SF,19.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1642860.png,https://cdn.nba.com/logos/nba/1610612764/primary/L/logo.svg,0.1939508323654665,"Timothé Luwawu-Cabarrot, Kevin Porter Jr., Mario Hezonja"
13,Tre Johnson,WAS,SG,19.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1642848.png,https://cdn.nba.com/logos/nba/1610612764/primary/L/logo.svg,0.1807218144174666,"Malaki Branham, Jarrett Culver, RJ Barrett"
14,Danny Wolf,BRK,PF,21.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1642874.png,https://cdn.nba.com/logos/nba/1610612751/primary/L/logo.svg,0.1199137336093857,"Harry Giles, Jeremy Sochan, Markieff Morris"
15,Nolan Traoré,BRK,PG,19.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1642849.png,https://cdn.nba.com/logos/nba/1610612751/primary/L/logo.svg,0.1174400607101809,"Théo Maledon, Zach LaVine, Isaiah Whitehead"
16,Javon Small,MEM,PG,23.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1642914.png,https://cdn.nba.com/logos/nba/1610612763/primary/L/logo.svg,0.1121493427124647,"Yogi Ferrell, Jordan McLaughlin, Craig Porter Jr."
17,Walter Clayton,2TM,PG,22.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1642383.png,,0.1057444536906557,"Marcus Sasser, Tyler Ulis, Davion Mitchell"
18,Noa Essengue,CHI,PF,19.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1642855.png,https://cdn.nba.com/logos/nba/1610612741/primary/L/logo.svg,0.0943086515597373,"Kostas Antetokounmpo, Julius Randle, Craig Brackins"
19,Kasparas Jakučionis,MIA,PG,19.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1642857.png,https://cdn.nba.com/logos/nba/1610612748/primary/L/logo.svg,0.0921355444086844,"Dyson Daniels, Saben Lee, Anthony Black"
20,Khaman Maluach,PHO,C,19.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1642863.png,https://cdn.nba.com/logos/nba/1610612756/primary/L/logo.svg,0.0905952318291228,"Goga Bitadze, Moussa Diabaté, Jakob Poeltl"
21,Ryan Nembhard,DAL,PG,22.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1642948.png,https://cdn.nba.com/logos/nba/1610612742/primary/L/logo.svg,0.0828308409322018,"Charles Jenkins, Tyler Ulis, Nate Wolters"
22,Carter Bryant,SAS,PF,20.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1642868.png,https://cdn.nba.com/logos/nba/1610612759/primary/L/logo.svg,0.0694690904349014,"Jabari Walker, David Roddy, Obi Toppin"
23,Drake Powell,BRK,SG,20.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1642962.png,https://cdn.nba.com/logos/nba/1610612751/primary/L/logo.svg,0.0577999481456789,"Gradey Dick, Bryce McGowens, Malaki Branham"
