,Player,Team,Position,Age,Images,Team_Logo,Allstar_Prob,Similar_Players
0,Stephon Castle,SAS,SG,21.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1642264.png,https://cdn.nba.com/logos/nba/1610612759/primary/L/logo.svg,0.8463322185061315,"Russell Westbrook, De'Aaron Fox, Deron Williams"
1,Donovan Clingan,POR,C,21.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1642270.png,https://cdn.nba.com/logos/nba/1610612757/primary/L/logo.svg,0.7963322185061316,"Jarrett Allen, Andre Drummond, Gorgui Dieng"
2,Kel'el Ware,MIA,C,21.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1642276.png,https://cdn.nba.com/logos/nba/1610612748/primary/L/logo.svg,0.5300777483386179,"Andre Drummond, Jarrett Allen, Bam Adebayo"
3,Matas Buzelis,CHI,SF,21.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1641824.png,https://cdn.nba.com/logos/nba/1610612741/primary/L/logo.svg,0.2994312923980443,"Miles Bridges, Wilson Chandler, Giannis Antetokounmpo"
4,Reed Sheppard,HOU,PG,21.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1642263.png,https://cdn.nba.com/logos/nba/1610612745/primary/L/logo.svg,0.2806292585500322,"George Hill, Fred VanVleet, Jordan Farmar"
5,Ajay Mitchell,OKC,SG,23.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1642349.png,https://cdn.nba.com/logos/nba/1610612760/primary/L/logo.svg,0.2262196629690333,"Donte DiVincenzo, Desmond Bane, Tyrese Maxey"
6,Kyle Filipowski,UTA,C,22.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1642271.png,https://cdn.nba.com/logos/nba/1610612762/primary/L/logo.svg,0.2249166456648186,"Jalen Duren, Kelly Olynyk, Alperen Şengün"
7,Jaylon Tyson,CLE,SG,23.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1642281.png,https://cdn.nba.com/logos/nba/1610612739/primary/L/logo.svg,0.219149113146844,"Denzel Valentine, Donte DiVincenzo, Danilo Gallinari"
8,Alex Sarr,WAS,C,20.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1642259.png,https://cdn.nba.com/logos/nba/1610612764/primary/L/logo.svg,0.2079734918865353,"Victor Wembanyama, DeMarcus Cousins, Brook Lopez"
9,Zach Edey,MEM,C,23.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1641744.png,https://cdn.nba.com/logos/nba/1610612763/primary/L/logo.svg,0.1798782537912972,"Greg Oden, Mark Williams, Deandre Ayton"
10,Cam Spencer,MEM,SG,25.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1642285.png,https://cdn.nba.com/logos/nba/1610612763/primary/L/logo.svg,0.1648016910927355,"Tomáš Satoranský, Delonte West, Austin Reaves"
11,Kyshawn George,WAS,SG,22.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1642273.png,https://cdn.nba.com/logos/nba/1610612764/primary/L/logo.svg,0.1285967420113762,"Kevin Huerter, Darius Garland, Brandon Ingram"
12,Isaiah Collier,UTA,PG,21.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1642268.png,https://cdn.nba.com/logos/nba/1610612762/primary/L/logo.svg,0.1248373435151355,"Scoot Henderson, Keyonte George, T.J. Ford"
