,Player,Team,Position,Age,Images,Team_Logo,Allstar_Prob
58,Kon Knueppel,CHO,SF,20.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1642851.png,https://cdn.nba.com/logos/nba/1610612766/primary/L/logo.svg,0.8088643992733949
21,Cooper Flagg,DAL,SF,19.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1642843.png,https://cdn.nba.com/logos/nba/1610612742/primary/L/logo.svg,0.7717912216365278
90,VJ Edgecombe,PHI,SG,20.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1642845.png,https://cdn.nba.com/logos/nba/1610612755/primary/L/logo.svg,0.6393316624895572
27,Derik Queen,NOP,C,21.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1642852.png,https://cdn.nba.com/logos/nba/1610612740/primary/L/logo.svg,0.6223381984372697
47,Jeremiah Fears,NOP,PG,19.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1642847.png,https://cdn.nba.com/logos/nba/1610612740/primary/L/logo.svg,0.4685815846806558
15,Cedric Coward,MEM,SG,22.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1642907.png,https://cdn.nba.com/logos/nba/1610612763/primary/L/logo.svg,0.4547911601520968
20,Collin Murray-Boyles,TOR,PF,20.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1642867.png,https://cdn.nba.com/logos/nba/1610612761/primary/L/logo.svg,0.43160679476468944
30,Dylan Harper,SAS,SG,19.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1642844.png,https://cdn.nba.com/logos/nba/1610612759/primary/L/logo.svg,0.38327135674203827
83,Ryan Kalkbrenner,CHO,C,24.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1641750.png,https://cdn.nba.com/logos/nba/1610612766/primary/L/logo.svg,0.2369522753669095
31,Egor Dёmin,BRK,PG,19.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1642856.png,https://cdn.nba.com/logos/nba/1610612751/primary/L/logo.svg,0.23344155844155842
0,Ace Bailey,UTA,SF,19.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1642846.png,https://cdn.nba.com/logos/nba/1610612762/primary/L/logo.svg,0.23204607046070463
66,Maxime Raynaud,SAC,C,22.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1642875.png,https://cdn.nba.com/logos/nba/1610612758/primary/L/logo.svg,0.19505504216532848
94,Will Riley,WAS,SF,19.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1642860.png,https://cdn.nba.com/logos/nba/1610612764/primary/L/logo.svg,0.1939508323654665
87,Tre Johnson,WAS,SG,19.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1642848.png,https://cdn.nba.com/logos/nba/1610612764/primary/L/logo.svg,0.1807218144174666
25,Danny Wolf,BRK,PF,21.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1642874.png,https://cdn.nba.com/logos/nba/1610612751/primary/L/logo.svg,0.11991373360938577
77,Nolan Traoré,BRK,PG,19.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1642849.png,https://cdn.nba.com/logos/nba/1610612751/primary/L/logo.svg,0.11744006071018095
42,Javon Small,MEM,PG,23.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1642914.png,https://cdn.nba.com/logos/nba/1610612763/primary/L/logo.svg,0.11214934271246477
92,Walter Clayton,2TM,PG,22.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1642383.png,,0.10574445369065577
75,Noa Essengue,CHI,PF,19.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1642855.png,https://cdn.nba.com/logos/nba/1610612741/primary/L/logo.svg,0.09430865155973739
53,Kasparas Jakučionis,MIA,PG,19.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1642857.png,https://cdn.nba.com/logos/nba/1610612748/primary/L/logo.svg,0.0921355444086844
55,Khaman Maluach,PHO,C,19.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1642863.png,https://cdn.nba.com/logos/nba/1610612756/primary/L/logo.svg,0.09059523182912281
84,Ryan Nembhard,DAL,PG,22.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1642948.png,https://cdn.nba.com/logos/nba/1610612742/primary/L/logo.svg,0.0828308409322018
14,Carter Bryant,SAS,PF,20.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1642868.png,https://cdn.nba.com/logos/nba/1610612759/primary/L/logo.svg,0.06946909043490143
