,Original_Player,Similar_Players
0,Ace Bailey,"Cam Reddish, De'Andre Hunter, Josh Jackson"
1,Adou Thiero,"Miye Oni, Chris Livingston, Sidy Cissoko"
2,Alex Antetokounmpo,"Thanasis Antetokounmpo, Max Strus, Jordan Nwora"
3,Alex Ducas,"Malcolm Hill, Treveon Graham, DaQuan Jeffries"
4,Alex Reese,"Freddie Gillespie, Donta Hall, Jamal Cain"
5,Alijah Martin,"Brodric Thomas, Amir Coffey, Deonte Burton"
6,Amari Williams,"Wenyen Gabriel, Okaro White, Mamadi Diakite"
7,Anton Watson,"Ignas Brazdeikis, Elijah Hughes, Emoni Bates"
8,Armel Traoré,"Yuta Watanabe, Brian Bowen, Nigel Hayes-Davis"
9,Asa Newell,"Sandro Mamukelashvili, Obi Toppin, Gui Santos"
10,Ben Saraf,"Keon Johnson, Blake Wesley, Jordan Poole"
11,Brooks Barnhizer,"Josh Green, Jared Rhoden, Sterling Brown"
12,CJ Huntley,"Duncan Robinson, Miye Oni, Adam Mokoka"
13,Caleb Love,"Allonzo Trier, Nickeil Alexander-Walker, Josh Christopher"
14,Carter Bryant,"Jabari Walker, David Roddy, Obi Toppin"
15,Cedric Coward,"Jalen Williams, Luka Dončić, Chris Duarte"
16,Chaz Lanier,"Deonte Burton, Joe Wieskamp, Bryn Forbes"
17,Chris Mañon,"Dru Smith, Jared Rhoden, Andre Roberson"
18,Chris Youngblood,"Damyean Dotson, Darrun Hilliard, Isaiah Joe"
19,Chucky Hepburn,"Sharife Cooper, Carlik Jones, Ashton Hagans"
20,Collin Murray-Boyles,"Xavier Tillman Sr., John Collins, Trayce Jackson-Davis"
21,Cooper Flagg,"Franz Wagner, Lamar Odom, Carmelo Anthony"
22,Curtis Jones,"D.J. Carton, Amir Coffey, Dru Smith"
23,DaRon Holmes,"Sandro Mamukelashvili, Ron Harper Jr., Gui Santos"
24,Damion Baugh,"Blake Wesley, Xavier Munford, Keon Johnson"
25,Danny Wolf,"Harry Giles, Jeremy Sochan, Markieff Morris"
26,David Jones García,"Daniel Hamilton, Leonard Miller, Monte Morris"
27,Derik Queen,"Alperen Şengün, DeMarcus Cousins, Deandre Ayton"
28,Drake Powell,"Gradey Dick, Bryce McGowens, Malaki Branham"
29,Dylan Cardwell,"Trey Jemison, Gorgui Dieng, Mo Bamba"
30,Dylan Harper,"Bones Hyland, Brandin Podziemski, James Harden"
31,Egor Dёmin,"Jrue Holiday, Théo Maledon, Mike Conley"
32,Ethan Thompson,"Brodric Thomas, C.J. Williams, Kevon Harris"
33,Hugo González,"Devin Vassell, Trey Murphy III, Aaron Nesmith"
34,Hunter Dickinson,"Zhou Qi, Robert Sacre, Darryl Watkins"
35,Hunter Sallis,"Daryl Macon, Jalen Lecque, Amir Coffey"
36,Jack McVeigh,"Hunter Tyson, Ish Wainright, Cameron Bairstow"
37,Jackson Rowe,"Anthony Gill, Jamal Cain, Mamadi Diakite"
