,Player,Team,Position,Age,Images,Team_Logo,Allstar_Prob
65,Stephon Castle,SAS,SG,21.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1642264.png,https://cdn.nba.com/logos/nba/1610612759/primary/L/logo.svg,0.8463322185061315
19,Donovan Clingan,POR,C,21.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1642270.png,https://cdn.nba.com/logos/nba/1610612757/primary/L/logo.svg,0.7963322185061316
43,Kel'el Ware,MIA,C,21.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1642276.png,https://cdn.nba.com/logos/nba/1610612748/primary/L/logo.svg,0.5300777483386179
50,Matas Buzelis,CHI,SF,21.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1641824.png,https://cdn.nba.com/logos/nba/1610612741/primary/L/logo.svg,0.29943129239804434
59,Reed Sheppard,HOU,PG,21.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1642263.png,https://cdn.nba.com/logos/nba/1610612745/primary/L/logo.svg,0.2806292585500322
2,Ajay Mitchell,OKC,SG,23.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1642349.png,https://cdn.nba.com/logos/nba/1610612760/primary/L/logo.svg,0.22621966296903334
46,Kyle Filipowski,UTA,C,22.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1642271.png,https://cdn.nba.com/logos/nba/1610612762/primary/L/logo.svg,0.22491664566481862
36,Jaylon Tyson,CLE,SG,23.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1642281.png,https://cdn.nba.com/logos/nba/1610612739/primary/L/logo.svg,0.21914911314684407
3,Alex Sarr,WAS,C,20.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1642259.png,https://cdn.nba.com/logos/nba/1610612764/primary/L/logo.svg,0.20797349188653538
79,Zach Edey,MEM,C,23.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1641744.png,https://cdn.nba.com/logos/nba/1610612763/primary/L/logo.svg,0.17987825379129724
12,Cam Spencer,MEM,SG,25.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1642285.png,https://cdn.nba.com/logos/nba/1610612763/primary/L/logo.svg,0.1648016910927355
47,Kyshawn George,WAS,SG,22.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1642273.png,https://cdn.nba.com/logos/nba/1610612764/primary/L/logo.svg,0.1285967420113762
26,Isaiah Collier,UTA,PG,21.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1642268.png,https://cdn.nba.com/logos/nba/1610612762/primary/L/logo.svg,0.12483734351513558
53,Oso Ighodaro,PHO,PF,23.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1642345.png,https://cdn.nba.com/logos/nba/1610612756/primary/L/logo.svg,0.12156084656084656
