,Original_Player,Similar_Players
0,AJ Johnson,"Keon Johnson, Rayan Rupert, Zhaire Smith"
1,Adem Bona,"DeAndre Jordan, Isaiah Jackson, Mo Bamba"
2,Ajay Mitchell,"Donte DiVincenzo, Desmond Bane, Tyrese Maxey"
3,Alex Sarr,"Victor Wembanyama, DeMarcus Cousins, Brook Lopez"
4,Antonio Reeves,"Lindy Waters III, Dakota Mathias, Rayjon Tucker"
5,Ariel Hukporti,"Kai Jones, Ryan Hollins, Orlando Robinson"
6,Baylor Scheierman,"Josh Green, Sterling Brown, Ben Sheppard"
7,Bobi Klintman,"Justin Champagnie, Jacob Toppin, Sidy Cissoko"
8,Branden Carlson,"Jock Landale, Jerome Jordan, Willie Reed"
9,Bronny James,"Kyle Guy, Colby Jones, Ian Clark"
10,Bub Carrington,"Brandon Knight, Keyonte George, Emmanuel Mudiay"
11,Cam Christie,"Lonnie Walker IV, Colby Jones, Carsen Edwards"
12,Cam Spencer,"Tomáš Satoranský, Delonte West, Austin Reaves"
13,Cody Williams,"Nik Stauskas, Austin Rivers, Bryce McGowens"
14,Daeqwon Plowden,"Ricky Council IV, Rakeem Christmas, Garrison Mathews"
15,Dalton Knecht,"Ziaire Williams, Timothé Luwawu-Cabarrot, Aaron Nesmith"
16,Daniss Jenkins,"Sharife Cooper, Kadeem Allen, Avery Bradley"
17,Devin Carter,"Kennedy Chandler, Alex Caruso, Scotty Pippen Jr."
18,Dillon Jones,"DeMarre Carroll, Victor Claver, Reggie Bullock"
19,Donovan Clingan,"Jarrett Allen, Andre Drummond, Gorgui Dieng"
20,Drew Timme,"Gabriel Deck, Alex Poythress, RaiQuan Gray"
21,Elijah Harkless,"Marcus Garrett, Markel Brown, Dru Smith"
22,Emanuel Miller,"Jamal Cain, Jarnell Stokes, Guerschon Yabusele"
23,Enrique Freeman,"Isaiah Hicks, Nick Richards, Jarvis Varnado"
24,Harrison Ingram,"Paul Watson, Tyrell Terry, Braxton Key"
25,Isaac Jones,"Tyler Cavanaugh, Isaiah Mobley, Jon Leuer"
26,Isaiah Collier,"Scoot Henderson, Keyonte George, T.J. Ford"
27,Isaiah Crawford,"Haywood Highsmith, Jacob Toppin, Jarell Eddie"
28,Isaiah Stevens,"Ashton Hagans, Jermaine Jackson, Jay Huff"
29,Ja'Kobe Walter,"Aaron Wiggins, Isaac Okoro, Josh Okogie"
30,Jahmir Young,"McKinley Wright IV, Demetrius Jackson, Chasson Randle"
31,Jamal Shead,"Tyler Ulis, T.J. McConnell, Eric Maynor"
32,Jamison Battle,"MarJon Beauchamp, Aaron Nesmith, Derrick Brown"
33,Jared McCain,"Jaden Hardy, MarShon Brooks, Armoni Brooks"
34,Jaylen Clark,"Treveon Graham, Ben Sheppard, Álex Abrines"
35,Jaylen Wells,"Ben McLemore, Courtney Lee, DeMar DeRozan"
36,Jaylon Tyson,"Denzel Valentine, Donte DiVincenzo, Danilo Gallinari"
37,Johnny Furphy,"Hamidou Diallo, Max Christie, Sterling Brown"
38,Jonathan Mogbo,"Gustavo Ayón, Jan Veselý, Gabriel Deck"
39,Justin Edwards,"Rodions Kurucs, Kris Murray, Justin Jackson"
40,KJ Simpson,"Frank Mason III, Shabazz Napier, Kira Lewis Jr."
41,Karlo Matković,"Donta Hall, Ivan Rabb, Jericho Sims"
42,Keaton Wallace,"Malachi Flynn, Shabazz Napier, Jorge Gutiérrez"
43,Kel'el Ware,"Andre Drummond, Jarrett Allen, Bam Adebayo"
44,Keshad Johnson,"Jordan Miller, Leonard Miller, Jacob Toppin"
45,Kevin McCullar Jr.,"Yuta Watanabe, Haywood Highsmith, Buddy Boeheim"
46,Kyle Filipowski,"Jalen Duren, Kelly Olynyk, Alperen Şengün"
47,Kyshawn George,"Kevin Huerter, Darius Garland, Brandon Ingram"
48,Luke Travers,"Devyn Marble, Jaylen Morris, Jacob Evans"
49,Malevy Leons,"Maxwell Lewis, Buddy Boeheim, Yuta Watanabe"
50,Matas Buzelis,"Miles Bridges, Wilson Chandler, Giannis Antetokounmpo"
51,N'Faly Dante,"Justin Williams, Jeff Ayres, Olivier Sarr"
52,Nae'Qwan Tomlin,"Adama Sanogo, Cheick Diallo, James Michael McAdoo"
53,Oso Ighodaro,"Pascal Siakam, Larry Nance Jr., Aaron Gordon"
54,PJ Hall,"Jerome Jordan, Charles Bassey, Colin Castleton"
55,Pacôme Dadiet,"Glenn Robinson III, Wendell Moore Jr., Carsen Edwards"
56,Pelle Larsson,"Quentin Grimes, Denzel Valentine, Austin Reaves"
57,Quinten Post,"Trayce Jackson-Davis, Skal Labissière, Cameron Johnson"
58,RayJ Dennis,"Sundiata Gaines, Spencer Dinwiddie, Cameron Payne"
59,Reed Sheppard,"George Hill, Fred VanVleet, Jordan Farmar"
60,Riley Minix,"Xavier Sneed, Jay Huff, Dariq Whitehead"
61,Rob Dillingham,"Cameron Payne, Kira Lewis Jr., Tyler Ennis"
62,Ron Holland,"Al-Farouq Aminu, Austin Daye, Troy Brown Jr."
63,Ryan Dunn,"Justin Jackson, Deni Avdija, Kris Murray"
64,Spencer Jones,"Otto Porter Jr., James Jones, Julian Phillips"
65,Stephon Castle,"Russell Westbrook, De'Aaron Fox, Deron Williams"
66,Terrence Shannon Jr.,"A.J. Green, Skylar Mays, Amir Coffey"
67,Tidjane Salaün,"Nassir Little, Bobby Portis, Omari Spellman"
68,Tolu Smith,"Johnathan Motley, Day'Ron Sharpe, Adama Sanogo"
69,Trentyn Flowers,"Emoni Bates, Alando Tucker, Gigi Datome"
70,Trey Alexander,"Furkan Korkmaz, Melvin Frazier, Johnny Juzang"
71,Tristan Da Silva,"Corey Kispert, Hollis Thompson, Kyle Singler"
72,Tristen Newton,"Malik Newman, Dusty Hannahs, Michael Redd"
73,Tyler Kolek,"Tre Jones, Shelvin Mack, Jeff Teague"
74,Tyler Smith,"Joel Bolomboy, Tyler Cook, Isaiah Mobley"
75,Tyson Etienne,"Blake Ahearn, Isaiah Canaan, Quinn Cook"
76,Yuki Kawamura,"Devon Dotson, Trent Forrest, Jason Preston"
77,Yves Missi,"Tyler Zeller, Walker Kessler, Isaiah Stewart"
78,Zaccharie Risacher,"Harrison Barnes, Michael Kidd-Gilchrist, Omri Casspi"
79,Zach Edey,"Greg Oden, Mark Williams, Deandre Ayton"
80,Zyon Pullin,"Ashton Hagans, Jordan Goodwin, Jay Huff"
