,team,logo,team_abbr
0,Boston Celtics,https://cdn.nba.com/logos/nba/1610612738/primary/L/logo.svg,BOS
1,Brooklyn Nets,https://cdn.nba.com/logos/nba/1610612751/primary/L/logo.svg,BRK
2,New York Knicks,https://cdn.nba.com/logos/nba/1610612752/primary/L/logo.svg,NYK
3,Philadelphia 76ers,https://cdn.nba.com/logos/nba/1610612755/primary/L/logo.svg,PHI
4,Toronto Raptors,https://cdn.nba.com/logos/nba/1610612761/primary/L/logo.svg,TOR
5,Chicago Bulls,https://cdn.nba.com/logos/nba/1610612741/primary/L/logo.svg,CHI
6,Cleveland Cavaliers,https://cdn.nba.com/logos/nba/1610612739/primary/L/logo.svg,CLE
7,Detroit Pistons,https://cdn.nba.com/logos/nba/1610612765/primary/L/logo.svg,DET
8,Indiana Pacers,https://cdn.nba.com/logos/nba/1610612754/primary/L/logo.svg,IND
9,Milwaukee Bucks,https://cdn.nba.com/logos/nba/1610612749/primary/L/logo.svg,MIL
10,Atlanta Hawks,https://cdn.nba.com/logos/nba/1610612737/primary/L/logo.svg,ATL
11,Charlotte Hornets,https://cdn.nba.com/logos/nba/1610612766/primary/L/logo.svg,CHO
12,Miami Heat,https://cdn.nba.com/logos/nba/1610612748/primary/L/logo.svg,MIA
13,Orlando Magic,https://cdn.nba.com/logos/nba/1610612753/primary/L/logo.svg,ORL
14,Washington Wizards,https://cdn.nba.com/logos/nba/1610612764/primary/L/logo.svg,WAS
15,Denver Nuggets,https://cdn.nba.com/logos/nba/1610612743/primary/L/logo.svg,DEN
16,Minnesota Timberwolves,https://cdn.nba.com/logos/nba/1610612750/primary/L/logo.svg,MIN
17,Oklahoma City Thunder,https://cdn.nba.com/logos/nba/1610612760/primary/L/logo.svg,OKC
18,Portland Trail Blazers,https://cdn.nba.com/logos/nba/1610612757/primary/L/logo.svg,POR
19,Utah Jazz,https://cdn.nba.com/logos/nba/1610612762/primary/L/logo.svg,UTA
20,Golden State Warriors,https://cdn.nba.com/logos/nba/1610612744/primary/L/logo.svg,GSW
21,LA Clippers,https://cdn.nba.com/logos/nba/1610612746/primary/L/logo.svg,LAC
22,Los Angeles Lakers,https://cdn.nba.com/logos/nba/1610612747/primary/L/logo.svg,LAL
23,Phoenix Suns,https://cdn.nba.com/logos/nba/1610612756/primary/L/logo.svg,PHO
24,Sacramento Kings,https://cdn.nba.com/logos/nba/1610612758/primary/L/logo.svg,SAC
25,Dallas Mavericks,https://cdn.nba.com/logos/nba/1610612742/primary/L/logo.svg,DAL
26,Houston Rockets,https://cdn.nba.com/logos/nba/1610612745/primary/L/logo.svg,HOU
27,Memphis Grizzlies,https://cdn.nba.com/logos/nba/1610612763/primary/L/logo.svg,MEM
28,New Orleans Pelicans,https://cdn.nba.com/logos/nba/1610612740/primary/L/logo.svg,NOP
29,San Antonio Spurs,https://cdn.nba.com/logos/nba/1610612759/primary/L/logo.svg,SAS
