,Rk,Player,debut,Age,Yrs,Games,Minutes Played,Field Goals,FGA,3-Point Field Goals,3-Point Field Goal Attempts,Free Throws,Free Throw Attempts,Offensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Field Goal Percentage,3-Point Field Goal Percentage,Free Throw Percentage,Minutes Played Per Game,Points Per Game,Total Rebounds Per Game,Assists Per Game,Steals Per Game,Blocks Per Game
0,1,Trey Alexander,"Oct 24, '24, DEN vs. OKC",21,2,33,228,32,78,9,29,6,9,2,23,20,8,3,8,23,79,.410,.310,.667,6.9,2.4,0.7,0.6,0.2,0.1
1,2,Marcus Bagley,"Mar 24, '25, PHI @ NOP",23,1,10,253,27,69,5,32,8,10,23,70,10,9,12,7,16,67,.391,.156,.800,25.3,6.7,7.0,1.0,0.9,1.2
2,3,Jamison Battle,"Oct 23, '24, TOR vs. CLE",23,2,120,1559,223,492,140,344,25,32,57,247,77,24,13,46,134,611,.453,.407,.781,13.0,5.1,2.1,0.6,0.2,0.1
3,4,Damion Baugh,"Feb 12, '25, CHO @ ORL",24,1,15,370,42,130,12,56,13,15,14,50,56,15,2,31,22,109,.323,.214,.867,24.7,7.3,3.3,3.7,1.0,0.1
4,5,Reece Beekman,"Oct 29, '24, GSW vs. NOP",23,1,36,469,35,107,7,40,16,21,13,39,63,33,2,21,36,93,.327,.175,.762,13.0,2.6,1.1,1.8,0.9,0.1
5,6,Adem Bona,"Oct 23, '24, PHI vs. MIL",21,2,129,2139,266,412,2,7,147,213,220,552,59,56,151,117,278,681,.646,.286,.690,16.6,5.3,4.3,0.5,0.4,1.2
6,7,Jalen Bridges,"Nov 13, '24, PHO @ SAC",23,1,8,30,2,7,2,7,3,4,0,4,0,0,0,4,0,9,.286,.286,.750,3.8,1.1,0.5,0.0,0.0,0.0
7,8,Keion Brooks Jr.,"Feb 5, '25, NOP @ DEN",24,1,14,332,53,109,14,43,22,30,12,58,13,10,10,12,30,142,.486,.326,.733,23.7,10.1,4.1,0.9,0.7,0.7
8,9,Matas Buzelis,"Oct 23, '24, CHI @ NOP",20,2,157,3759,698,1518,269,761,275,346,132,726,237,84,191,233,305,1940,.460,.353,.795,23.9,12.4,4.6,1.5,0.5,1.2
9,10,Branden Carlson,"Nov 25, '24, OKC @ SAC",25,2,74,734,141,283,53,152,29,44,46,178,43,13,48,23,58,364,.498,.349,.659,9.9,4.9,2.4,0.6,0.2,0.6
10,11,Bub Carrington,"Oct 24, '24, WAS vs. BOS",19,2,164,4729,614,1489,307,821,150,196,66,617,745,106,38,332,374,1685,.412,.374,.765,28.8,10.3,3.8,4.5,0.6,0.2
11,12,Devin Carter,"Jan 3, '25, SAC vs. MEM",22,2,74,1096,168,419,48,175,93,138,55,201,142,55,13,72,89,477,.401,.274,.674,14.8,6.4,2.7,1.9,0.7,0.2
12,13,Stephon Castle,"Oct 24, '24, SAS @ DAL",20,2,149,4200,808,1805,176,577,531,728,187,659,834,152,41,394,386,2323,.448,.305,.729,28.2,15.6,4.4,5.6,1.0,0.3
13,14,Ulrich Chomche,"Oct 23, '24, TOR vs. CLE",19,1,7,32,2,5,0,0,1,2,4,8,2,0,1,2,5,5,.400,,.500,4.6,0.7,1.1,0.3,0.0,0.1
